Domanda;Tipo domanda;Risposta 1;Risposta 2;Risposta 3;Risposta 4;Risposta 5;Risposta 6;Numero;Punti risposta;;
Cos'è un diagramma di flusso?;Scelta multipla;Una rappresentazione grafica del flusso delle istruzioni di un programma;Una lista delle parole chiave del linguaggio di programmazione;Un elenco delle funzioni disponibili in Python;Una tabella riassuntiva delle variabili utilizzate nel programma;Una collezione di esempi di codice Python;;1;1;;
Cosa rappresenta un rombo in un diagramma di flusso?;Scelta multipla;Una funzione da richiamare;Una condizione da verificare;Un'operazione aritmetica da compiere;Una variabile da inizializzare;Un'istruzione da eseguire;;2;1;;
Quale istruzione viene utilizzata per eseguire un'azione solo se una condizione è vera in Python?;Scelta multipla;try;for;while;switch;if;;5;1;;
Come si dichiara una variabile in Python?;Scelta multipla;"Utilizzando la parola chiave ""final""";"Utilizzando il simbolo ""="" dopo il nome della variabile";"Utilizzando la parola chiave ""constant""";"Utilizzando il simbolo ""="" per assegnare un valore al nome della variabile";"Utilizzando il simbolo "":"" davanti al nome della variabile";;4;1;;
Quali sono le strutture dati principali in Python?;Scelta multipla;Record e File;Liste e Dizionari;Pile e Code;Array e Matrici;Stringhe e Booleani;;2;1;;
Cosa sono i sottoprogrammi in programmazione?;Scelta multipla;Sezioni di codice che possono essere richiamate più volte all'interno di un programma;Cicli for con variabili di iterazione complesse;Istruzioni condizionali annidate;Variabili locali all'interno di una funzione;Instradamenti di flusso alternativi;;1;1;;
Quale dei seguenti è un esempio di sottoprogramma in Python?;Scelta multipla;Un'istruzione break;Una struttura condizionale if-else;Una funzione definita dall'utente che calcola la media di una lista di numeri;Una variabile globale;Un'istruzione pass;;3;1;;
Cosa si intende per ricorsione in programmazione?;Scelta multipla;L'utilizzo di una variabile senza inizializzarla;L'annidamento di più funzioni all'interno di una stessa funzione;La chiamata di una funzione da parte di se stessa;La ricreazione di una variabile ogni volta che viene utilizzata;La ripetizione di un'istruzione per un numero definito di volte;;3;1;;
Qual è il caso base fondamentale nella ricorsione?;Scelta multipla;Quello in cui non ci sono condizioni da rispettare;Quello in cui la funzione ricorsiva deve chiamare una funzione ausiliaria;Quello in cui la ricorsione è evitata totalmente;Quello in cui la variabile contatore raggiunge un valore massimo;Quello in cui si verifica la condizione di uscita dalla funzione ricorsiva;;5;1;;
Quale istruzione è necessario eseguire sempre per prima su un file?;Scelta multipla;write;append;open;update;readline;;3;1;;
Cos'è una variabile nei linguaggi di programmazione?;Scelta multipla;Un valore;L'associazione di un nome ad un valore;Una stringa;Un insieme di valori;Un'area di memoria ROM;;2;1;;
Dove sono memorizzate le variabili di un linguaggio di programmazione?;Scelta multipla;Su un disco fisso;Nella memoria ROM;Nella CPU;Nella memoria RAM;Nell'ALU;;4;1;;
Qual è lo scopo principale dei diagrammi di flusso nella programmazione?;Scelta multipla;Rappresentare graficamente l'algoritmo;Definire le variabili del programma;Eseguire istruzioni condizionali;Creare strutture dati complesse;;;1;1;;
Cosa viene utilizzato in un diagramma di flusso per eseguire un'azione diversa in base a una condizione specifica?;Scelta multipla;Variabili;Istruzioni condizionali;Strutture dati;Sottoprogrammi;;;2;1;;
Qual è lo scopo delle variabili in programmazione?;Scelta multipla;Memorizzare dati temporanei;Creare cicli di ripetizione;Definire funzioni personalizzate;Creare diagrammi di flusso;;;1;1;;
Qual è l'obiettivo principale delle strutture dati nella programmazione?;Scelta multipla;Definire le istruzioni condizionali;Organizzare e gestire raccolte di dati;Creare diagrammi di flusso complessi;Rappresentare insiemi matematici;;;2;1;;
Cosa rappresenta un sottoprogramma in programmazione?;Scelta multipla;Un'istruzione condizionale;Una variabile globale;Una funzione o procedura separata;Un'operazione matematica;;;3;1;;
Dove è visibile una variabile globale?;Scelta multipla;Solo nei sottoprogrammi;Solo tra gli argomenti;In nessun punto del programma;In qualunque punto del programma;;;4;1;;
Qual è un algoritmo di ordinamento che confronta gli elementi due a due e scambia quelli fuori posizione?;Scelta multipla;Bubble sort;Insertion sort;Selection sort;Merge sort;;;1;1;;
Quale algoritmo di ordinamento seleziona ripetutamente l'elemento più piccolo e lo sposta nella posizione corretta?;Scelta multipla;Bubble sort;Insertion sort;Selection sort;Merge sort;;;3;1;;
Qual è un metodo di ricerca che divide iterativamente l'array a meta e confronta l'elemento cercato con quello centrale?;Scelta multipla;Ricerca binaria;Ricerca sequenziale;Ricerca per tentativ;Ricerca lineare;;;1;1;;
Quale algoritmo di ordinamento suddivide ripetutamente a metà l'array per poi ricomporlo ordinato?;Scelta multipla;Bubble sort;Insertion sort;Selection sort;Merge sort;;;4;1;;
Qual è un metodo di ricerca che controlla elemento per elemento dall'inizio alla fine dell'array?;Scelta multipla;Ricerca binaria;Ricerca sequenziale;Ricerca per tentativ;Ricerca lineare;;;2;1;;
Quale è la complessità dell'algoritmo di ordinamento bubblesort?;Scelta multipla;O(n^2);O(1);O(n);O(n log n);;;1;1;;
Qual e' la complessita' della ricerca lineare?;Scelta multipla;O(n);O(n^2);O(1);O(log n);;;1;1;;
Quale e' la complessita' della ricerca binaria?;Scelta multipla;O(n);O(n^2);O(1);O(log n);;;4;1;;